0,1,phone,cluster_id,word
-1.3714633,0.96445596,,8,
-2.260745,0.77246827,,8,
-13.075039,-0.3361499,,4,
-13.41222,0.61107737,,4,
-13.3092,0.9502665,,4,
-13.746533,1.2200575,,4,
-12.227013,2.4251313,,4,
-16.33639,1.0513942,,4,
-16.159372,0.3700527,,4,
-20.9121,-3.9703171,,4,
-22.792343,-5.7242475,,4,
-22.691912,-5.7669115,,4,
11.248037,-4.1496625,,5,
15.387381,-4.2971087,,2,
14.879368,-4.276701,,2,
6.8247614,1.5804027,,14,
-3.16768,6.1250553,,1,
-4.0976186,5.0479555,,1,
-13.097601,-3.0993154,,4,
-13.6052265,-2.906058,,4,
-6.032895,1.5479045,,4,
